tau = 1
P = 0.0
[k], [ƒÏ], [V]
1, 0.0078125, 0.0
2, 0.015625, 0.0
3, 0.0234375, 0.0
4, 0.03125, 0.0
5, 0.0390625, 0.0
6, 0.046875, 0.0
7, 0.0546875, 0.0
8, 0.0625, 0.0
9, 0.0703125, 0.0
10, 0.078125, 0.0
11, 0.0859375, 0.0
12, 0.09375, 0.0
13, 0.1015625, 0.0
14, 0.109375, 0.0
15, 0.1171875, 0.0
16, 0.125, 0.0
17, 0.1328125, 0.0
18, 0.140625, 0.0
19, 0.1484375, 0.0
20, 0.15625, 0.0
P = 0.5
[k], [ƒÏ], [V]
1, 0.0078125, 0.49047734374999996
2, 0.015625, 0.428465478515625
3, 0.0234375, 0.2932704752604166
4, 0.03125, 0.08512846679687501
5, 0.0390625, 0.04331048828125
6, 0.046875, 0.022768831380208333
7, 0.0546875, 0.010043596540178572
8, 0.0625, 0.006641027832031252
9, 0.0703125, 0.002700390625
10, 0.078125, 8.08203125E-4
11, 0.0859375, 5.163884943181818E-4
12, 0.09375, 4.7249348958333334E-5
13, 0.1015625, 9.471153846153845E-5
14, 0.109375, 0.0
15, 0.1171875, 4.58984375E-5
16, 0.125, 0.0
17, 0.1328125, 0.0
18, 0.140625, 0.0
19, 0.1484375, 0.0
20, 0.15625, 0.0
P = 1.0
[k], [ƒÏ], [V]
1, 0.0078125, 0.9962633789062499
2, 0.015625, 0.8924613769531249
3, 0.0234375, 0.7329646158854167
4, 0.03125, 0.27759291992187496
5, 0.0390625, 0.13367986328124998
6, 0.046875, 0.08732223307291667
7, 0.0546875, 0.05114931640624999
8, 0.0625, 0.022165124511718752
9, 0.0703125, 0.017474207899305556
10, 0.078125, 0.01103515625
11, 0.0859375, 0.003125
12, 0.09375, 0.00126953125
13, 0.1015625, 1.953125E-4
14, 0.109375, 9.765625E-5
15, 0.1171875, 0.0
16, 0.125, 0.0
17, 0.1328125, 0.0
18, 0.140625, 0.0
19, 0.1484375, 0.0
20, 0.15625, 0.0
tau = 2
P = 0.0
[k], [ƒÏ], [V]
1, 0.0078125, 0.4983742187500001
2, 0.015625, 0.4796459472656249
3, 0.0234375, 0.4106125325520834
4, 0.03125, 0.21356552734375
5, 0.0390625, 0.09830166015625
6, 0.046875, 0.041340201822916665
7, 0.0546875, 0.02377000558035714
8, 0.0625, 0.011913696289062501
9, 0.0703125, 0.00439453125
10, 0.078125, 0.0044921875
11, 0.0859375, 0.001123046875
12, 0.09375, 6.8359375E-4
13, 0.1015625, 4.8828125E-5
14, 0.109375, 4.8828125E-5
15, 0.1171875, 0.0
16, 0.125, 0.0
17, 0.1328125, 0.0
18, 0.140625, 0.0
19, 0.1484375, 0.0
20, 0.15625, 0.0
P = 0.5
[k], [ƒÏ], [V]
1, 0.0078125, 0.74479580078125
2, 0.015625, 0.6152393066406251
3, 0.0234375, 0.32260634765624996
4, 0.03125, 0.09761069335937501
5, 0.0390625, 0.0530511328125
6, 0.046875, 0.030678548177083338
7, 0.0546875, 0.017768805803571423
8, 0.0625, 0.007316503906249998
9, 0.0703125, 0.0060451931423611115
10, 0.078125, 0.003127548828125
11, 0.0859375, 0.001383700284090909
12, 0.09375, 5.074951171875E-4
13, 0.1015625, 7.228816105769231E-5
14, 0.109375, 1.454520089285714E-4
15, 0.1171875, 0.0
16, 0.125, 0.0
17, 0.1328125, 0.0
18, 0.140625, 0.0
19, 0.1484375, 0.0
20, 0.15625, 0.0
P = 1.0
[k], [ƒÏ], [V]
1, 0.0078125, 0.989909765625
2, 0.015625, 0.8422506347656251
3, 0.0234375, 0.5163293945312499
4, 0.03125, 0.154022998046875
5, 0.0390625, 0.10730931640625
6, 0.046875, 0.04608359375
7, 0.0546875, 0.0366205078125
8, 0.0625, 0.01484375
9, 0.0703125, 0.00859375
10, 0.078125, 0.004296875
11, 0.0859375, 0.00224609375
12, 0.09375, 2.9296875E-4
13, 0.1015625, 2.9296875E-4
14, 0.109375, 0.0
15, 0.1171875, 0.0
16, 0.125, 0.0
17, 0.1328125, 0.0
18, 0.140625, 0.0
19, 0.1484375, 0.0
20, 0.15625, 0.0
